is_scraping,car_model_designation_no,classification_no,car_name,car_model_name,youshiki,vin_start,vin_end,model_from,model_to,catalog_name,parts_code
False,15133,0007,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,69100
False,15133,0013,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,20002 20002 33920
False,15133,0019,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,55311
False,15133,0019,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,69100
False,15133,0037,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,35510 35550 71711 71711 71711 71713 71741 71741 71741 71741 71811 71811 71811 84701 84701 84701 84701 84702 84702 84702 84702 84710 84720 85180 87180 87380
False,15133,0038,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,36790 39101 39510 43200 68701 69100 71741 71741 71741 71741 71811 71811 71811 74100 83900 83900 83900 83900 85180 86401 87180 87380
False,15133,0038,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,36790 39101 39510 43200 69100 74100 85180 87180 87380
False,15133,0038,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,35120 35320 36790 71741 83900 85180
False,15133,0038,EBD-DA64V,DA64V,DA64V,290001,no_data,200801,no_data,DA64V-4,39101 39510 74100 74100 74100
False,15133,0042,EBD-DA64V,DA64V,DA64V,100001,130000,200508,200512,DA64V,36790 38690 43200 68501
False,15133,0042,EBD-DA64V,DA64V,DA64V,130001,240000,200512,200706,DA64V-2,35120 35320 35510 35550 36790 39510 39920 43200 85180 86401 86401 87180 87380
False,15133,0042,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,36790 43200
False,15133,0048,EBD-DA64V,DA64V,DA64V,240001,600000,200706,no_data,DA64V-3,69100 83900 83900
False,15133,0061,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,35120 35320 35650 35670 41601 41602 41700 43210 43250 45110 45150 48150 55101 55102 55311 55311 58100 58100 69100 71711 71711 71711 71713 71714 71811 71811 71811 71811 74400 83941 84570 84701 84701 84701 84701 84701 84701 84701 84701 84701 84702 84702 84702 84702 84702 84702 84702 84702 84702 87105 87105 87106 87106 87180 87180 87305 87306
False,15133,0062,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,35120 35320 35650 35670 36790 39510 43200 68701 68701 68701 69100 69100 71711 71711 71711 71713 71713 71714 71717 71717 71718 71721 71722 71811 71811 71811 74100 74100 83900 83900 83900 83900 83900 85180 85180 85180 85180 86401 86401 86401 86401 87180 87180 87380 87380
False,15133,0066,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,36790 43200 68501 68501 68501
False,15133,0067,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,69100
False,15133,0072,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,69100 83900 83900 83900 83900 83900
False,15133,0085,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,87105 87106 87180 87305 87306 87380
False,15133,0086,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,68700 74100 74100 85180 86401 86401 87180 87380
False,15133,0090,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,68500
